name,tcga code,MedianExpression,VarianceExpression
TRIM22,MESO,4.55397480823747,4.71739063754801
TRIM22,ACC,0.263034405833794,4.71739063754801
TRIM22,UVM,0.310340120612151,4.71739063754801
TRIM22,UCEC,1.20163386116965,4.71739063754801
TRIM22,CESC,3.24488705912353,4.71739063754801
TRIM22,ESCA,0.565564242874538,4.71739063754801
TRIM22,DLBC,5.52356195605701,4.71739063754801
TRIM22,KIRP,3.0228525322554,4.71739063754801
TRIM22,COAD,0.659924558402378,4.71739063754801
TRIM29,UCS,0.207879333261249,6.97693460128853
TRIM29,OV,1.57115770158493,6.97693460128853
TRIM29,THCA,0.574141681251589,6.97693460128853
TRIM29,PAAD,4.38767081650469,6.97693460128853
TRIM29,SKCM,0.16349873228288,6.97693460128853
TRIM29,BRCA,3.06824746208482,6.97693460128853
TRIM29,ACC,0.475084882948783,6.97693460128853
TRIM29,COAD,4.41169126340006,6.97693460128853
TRIM29,KIRP,0.816599343187002,6.97693460128853
TRIM29,LIHC,0.641546029087524,6.97693460128853
TRIM29,UVM,0,6.97693460128853
TRIM29,LUSC,1.30293678315142,6.97693460128853
TRIM29,KICH,0.310340120612151,6.97693460128853
TRIM29,UCEC,0.565597175854225,6.97693460128853
TRIM29,LAML,0.150559676575381,6.97693460128853
TRIM29,KIRC,0.250961573533219,6.97693460128853
TRIM29,LGG,0.704871964456353,6.97693460128853
TRIM29,PRAD,1.79493566280354,6.97693460128853
TRIM29,CHOL,1.32768736417605,6.97693460128853
TRIM29,TGCT,0.169796750482699,6.97693460128853
TRIM29,DLBC,0.150559676575381,6.97693460128853
TRIM29,CESC,5.60762622084549,6.97693460128853
TRIM29,GBM,0.691471934784495,6.97693460128853
TRIM29,LUAD,2.40599235967584,6.97693460128853
TRIM29,ESCA,2.70822903984161,6.97693460128853
TRIM29,HNSC,6.64321957222218,6.97693460128853
TRIM29,BLCA,5.17272751801285,6.97693460128853
TRIM29,SARC,0.0976107966264223,6.97693460128853
TRIM29,MESO,0.941106310946432,6.97693460128853
TRIM55,TGCT,0.231287944021102,1.71617942345059
TRIM55,KICH,3.69821847822441,1.71617942345059
TRIM55,KIRC,4.31397137105902,1.71617942345059
TRIM55,SKCM,0.0285691521967709,1.71617942345059
TRIM55,PRAD,0.0426443374084937,1.71617942345059
TRIM55,UCEC,0.594548549550354,1.71617942345059
TRIM55,OV,0.713668994463722,1.71617942345059
TRIM55,HNSC,0.207879333261249,1.71617942345059
TRIM55,PAAD,0.0840642647884745,1.71617942345059
TRIM55,MESO,0.01435529297707,1.71617942345059
TRIM55,LAML,0.01435529297707,1.71617942345059
TRIM55,BRCA,0.104321054507583,1.71617942345059
TRIM55,CHOL,0.070389327891398,1.71617942345059
TRIM55,LIHC,0.22650852980868,1.71617942345059
TRIM55,BLCA,0.0840642647884745,1.71617942345059
TRIM55,UVM,0.0285691521967709,1.71617942345059
TRIM55,GBM,0.15702920442913,1.71617942345059
TRIM55,ACC,0,1.71617942345059
TRIM55,KIRP,5.39785928876232,1.71617942345059
TRIM55,THCA,1.26438566602371,1.71617942345059
TRIM55,DLBC,0.070389327891398,1.71617942345059
TRIM55,ESCA,0.0426443374084937,1.71617942345059
TRIM55,CESC,0.0285691521967709,1.71617942345059
TRIM55,SARC,0.124328135002202,1.71617942345059
TRIM55,UCS,0.994133292713086,1.71617942345059
TRIM55,LUAD,0.22650852980868,1.71617942345059
TRIM55,LUSC,0.124328135002202,1.71617942345059
TRIM55,COAD,0.0285691521967709,1.71617942345059
TRIM55,LGG,0.22650852980868,1.71617942345059
TRIM58,LIHC,0.0426443374084937,2.54577070482422
TRIM58,KIRP,0.042372310434234,2.54577070482422
TRIM58,KICH,0.0285691521967709,2.54577070482422
TRIM58,PRAD,0.0565835283663675,2.54577070482422
TRIM58,UCS,0.992312902304587,2.54577070482422
TRIM58,PAAD,0.01435529297707,2.54577070482422
TRIM58,BRCA,0.0356067448026323,2.54577070482422
TRIM58,THCA,2.06747598050372,2.54577070482422
TRIM58,CHOL,0,2.54577070482422
TRIM58,LAML,2.54349588342577,2.54577070482422
TRIM58,SKCM,1.90689059560852,2.54577070482422
TRIM58,CESC,0,2.54577070482422
TRIM58,KIRC,0.01435529297707,2.54577070482422
TRIM58,COAD,0.0426443374084937,2.54577070482422
TRIM58,GBM,0.01435529297707,2.54577070482422
TRIM58,UVM,0.333423733725192,2.54577070482422
TRIM58,HNSC,0.01435529297707,2.54577070482422
TRIM58,UCEC,0.0426443374084937,2.54577070482422
TRIM58,ACC,1.38956681176273,2.54577070482422
TRIM58,DLBC,0.01435529297707,2.54577070482422
TRIM58,BLCA,0.01435529297707,2.54577070482422
TRIM58,ESCA,0.01435529297707,2.54577070482422
TRIM58,TGCT,0.325749751558474,2.54577070482422
TRIM58,LUSC,0.0285691521967709,2.54577070482422
TRIM58,SARC,1.97452931248388,2.54577070482422
TRIM58,LGG,2.24792751344359,2.54577070482422
TRIM58,MESO,4.6564963705535,2.54577070482422
TRIM58,LUAD,0.01435529297707,2.54577070482422
TRIM58,OV,1.7625834226866,2.54577070482422
TRIM6,ACC,0,2.20193542755884
TRIM6,KIRP,3.24826952292226,2.20193542755884
TRIM6,THCA,2.41409490527499,2.20193542755884
TRIM6,PAAD,1.798604673808,2.20193542755884
TRIM6,UCEC,2.32481060342048,2.20193542755884
TRIM6,KICH,4.4867143730307,2.20193542755884
