name,tcga code,MedianExpression,VarianceExpression
TRIM15,LUSC,1.09889112580627,11.8152854018184
TRIM15,UVM,0,11.8152854018184
TRIM15,PAAD,7.82818887231901,11.8152854018184
TRIM15,UCS,3.47341028139329,11.8152854018184
TRIM15,CHOL,8.63191215445333,11.8152854018184
TRIM15,PRAD,0,11.8152854018184
TRIM15,TGCT,1.20597331696393,11.8152854018184
TRIM15,KICH,0,11.8152854018184
TRIM15,BLCA,0.618602408526973,11.8152854018184
TRIM15,COAD,9.16468683736003,11.8152854018184
TRIM15,PCPG,0,11.8152854018184
TRIM15,KIRC,7.67202925367115,11.8152854018184
TRIM15,LUAD,1.4662355621504,11.8152854018184
TRIM15,UCEC,4.17320216399482,11.8152854018184
TRIM2,STAD,11.0091635163409,2.93062224371377
TRIM2,OV,9.32898400416007,2.93062224371377
TRIM2,UCS,9.76335679510673,2.93062224371377
TRIM2,DLBC,5.97033927193572,2.93062224371377
TRIM2,GBM,11.3178203990921,2.93062224371377
TRIM2,ACC,10.0575721162818,2.93062224371377
TRIM2,SARC,8.98298216994535,2.93062224371377
TRIM2,MESO,8.74248123542151,2.93062224371377
TRIM2,UCEC,11.3380984205011,2.93062224371377
TRIM2,LGG,11.9280926841133,2.93062224371377
TRIM2,COAD,11.8337795599997,2.93062224371377
TRIM2,PCPG,11.7740910713659,2.93062224371377
TRIM2,UVM,9.57890910887994,2.93062224371377
TRIM2,THCA,11.2544145263786,2.93062224371377
TRIM2,PAAD,10.3492102823627,2.93062224371377
TRIM2,HNSC,9.29227250301399,2.93062224371377
TRIM2,TGCT,9.97039933068886,2.93062224371377
TRIM2,PRAD,10.0488410332669,2.93062224371377
TRIM2,READ,11.7463817067891,2.93062224371377
TRIM2,ESCA,11.1368116696543,2.93062224371377
TRIM2,KICH,13.396531198958,2.93062224371377
TRIM2,LAML,4.97194246539191,2.93062224371377
TRIM2,CESC,9.37045179520507,2.93062224371377
TRIM2,LUSC,10.8243939588363,2.93062224371377
TRIM2,KIRC,9.99610623620705,2.93062224371377
TRIM2,THYM,8.31001729506976,2.93062224371377
TRIM2,LUAD,11.0112482246755,2.93062224371377
TRIM2,KIRP,10.3690355342479,2.93062224371377
TRIM2,SKCM,10.9125076599838,2.93062224371377
TRIM2,LIHC,8.6983608789792,2.93062224371377
TRIM2,BRCA,8.94604069015774,2.93062224371377
TRIM2,BLCA,9.29912270183906,2.93062224371377
TRIM2,CHOL,8.82080811614251,2.93062224371377
TRIM22,KIRP,10.1875438365374,2.02147010445725
TRIM22,ACC,7.72152988169971,2.02147010445725
TRIM22,PAAD,10.2534636712127,2.02147010445725
TRIM22,BLCA,9.52114421492647,2.02147010445725
TRIM22,LUAD,10.5906712514485,2.02147010445725
TRIM22,GBM,10.470145891809,2.02147010445725
TRIM22,MESO,10.4452011215807,2.02147010445725
TRIM22,TGCT,9.51132390143342,2.02147010445725
TRIM22,OV,10.0845353427659,2.02147010445725
TRIM22,KICH,8.74246241116948,2.02147010445725
TRIM22,THCA,10.3932724626899,2.02147010445725
TRIM22,SARC,9.9690410966416,2.02147010445725
TRIM22,PCPG,8.49174889792507,2.02147010445725
TRIM22,STAD,9.97117759232382,2.02147010445725
TRIM22,LIHC,8.81178568663832,2.02147010445725
TRIM22,PRAD,9.22583162606452,2.02147010445725
TRIM22,UCS,7.66921814808872,2.02147010445725
TRIM22,KIRC,11.0289972782561,2.02147010445725
TRIM22,UVM,7.71886732576964,2.02147010445725
TRIM22,DLBC,11.3883721185044,2.02147010445725
TRIM22,HNSC,10.5130022128463,2.02147010445725
TRIM22,SKCM,9.16701664439148,2.02147010445725
TRIM22,LGG,9.37378521910106,2.02147010445725
TRIM22,READ,8.65677987469885,2.02147010445725
TRIM22,CESC,10.3634263539122,2.02147010445725
TRIM22,ESCA,9.85472522354011,2.02147010445725
